depth,control_type,name,automation_id,class_name,framework_id,handle,left,top,right,bottom
7,TreeItem,Fluids,,,WinForm,,4104,314,4142,330
8,TreeItem,Bingham Plastic,,,WinForm,,4123,330,4214,346
8,TreeItem,Empirical Model Fluids,,,WinForm,,4123,346,4253,362
8,TreeItem,Foam,,,WinForm,,4123,362,4157,378
8,TreeItem,Gas,,,WinForm,,4123,378,4148,394
8,TreeItem,Herschel Bulkley,,,WinForm,,4123,394,4218,410
8,TreeItem,Multiphase,,,WinForm,,4123,410,4190,426
8,TreeItem,Newtonian,,,WinForm,,4123,426,4187,442
8,TreeItem,Power Law,,,WinForm,,4123,442,4184,458
5,Pane,,593522,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,WinForm,593522,4344,312,4811,632
6,Pane,,spListView,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,WinForm,659868,4344,312,4811,632
7,Pane,,1118264,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,WinForm,1118264,4344,312,4806,632
8,List,,lvRightSide,WindowsForms10.SysListView32.app.0.141b42a_r7_ad1,WinForm,5770916,4345,313,4805,631
9,Header,Header Control,Header,SysHeader32,Win32,2363918,4346,314,4789,338
10,HeaderItem,Newtonian (24),HeaderItem 0,,,,4346,314,4486,338
10,HeaderItem,Checked Out By,HeaderItem 1,,,,4486,314,4556,338
10,HeaderItem,Fluid,HeaderItem 2,,,,4556,314,4696,338
10,HeaderItem,Model/Type,HeaderItem 3,,,,4696,314,4836,338
10,HeaderItem,Date Modified,HeaderItem 4,,,,0,0,0,0
10,HeaderItem,Modified By,HeaderItem 5,,,,0,0,0,0
10,HeaderItem,Folder,HeaderItem 6,,,,0,0,0,0
9,ScrollBar,Vertical,NonClientVerticalScrollBar,,,,4787,314,4804,613
10,Button,Line up,UpButton,,,,4787,314,4804,331
10,Thumb,Position,ScrollbarThumb,,,,4787,331,4804,497
10,Button,Page down,DownPageButton,,,,4787,497,4804,596
10,Button,Line down,DownButton,,,,4787,596,4804,613
9,ScrollBar,Horizontal,NonClientHorizontalScrollBar,,,,4346,613,4787,630
10,Button,Column left,UpButton,,,,4346,613,4363,630
10,Thumb,Position,ScrollbarThumb,,,,4363,613,4642,630
10,Button,Page right,DownPageButton,,,,4642,613,4770,630
10,Button,Column right,DownButton,,,,4770,613,4787,630
9,Thumb,,,,,,4787,613,4804,630
9,ListItem,B22 Brine (local),,,WinForm,,4346,338,4787,356
10,Text,B22 Brine (local),,,WinForm,,4346,338,4787,356
10,Text,,,,WinForm,,4486,338,4556,356
10,Text,Liquid,,,WinForm,,4556,338,4696,356
10,Text,Newtonian,,,WinForm,,4696,338,4787,356
10,Text,10/17/2024 10:45:47 AM,,,WinForm,,0,0,0,0
10,Text,bsmith,,,WinForm,,0,0,0,0
10,Text,Newtonian,,,WinForm,,0,0,0,0
9,ListItem,Brine (1.68 SG) (local),,,WinForm,,4346,356,4787,374
10,Text,Brine (1.68 SG) (local),,,WinForm,,4346,356,4787,374
10,Text,,,,WinForm,,4486,356,4556,374
10,Text,Liquid,,,WinForm,,4556,356,4696,374
10,Text,Newtonian,,,WinForm,,4696,356,4787,374
10,Text,8/29/2024 9:35:43 AM,,,WinForm,,0,0,0,0
10,Text,bsmith,,,WinForm,,0,0,0,0
10,Text,Newtonian,,,WinForm,,0,0,0,0
9,ListItem,Brine (10.8ppg) (local),,,WinForm,,4346,374,4787,392
10,Text,Brine (10.8ppg) (local),,,WinForm,,4346,374,4787,392
10,Text,,,,WinForm,,4486,374,4556,392
10,Text,Liquid,,,WinForm,,4556,374,4696,392
10,Text,Newtonian,,,WinForm,,4696,374,4787,392
10,Text,7/17/2024 12:36:54 PM,,,WinForm,,0,0,0,0
10,Text,bsmith,,,WinForm,,0,0,0,0
10,Text,Newtonian,,,WinForm,,0,0,0,0
9,ListItem,Brine (local),,,WinForm,,4346,392,4787,410
10,Text,Brine (local),,,WinForm,,4346,392,4787,410
10,Text,,,,WinForm,,4486,392,4556,410
10,Text,Liquid,,,WinForm,,4556,392,4696,410
10,Text,Newtonian,,,WinForm,,4696,392,4787,410
10,Text,5/30/2024 4:18:42 PM,,,WinForm,,0,0,0,0
10,Text,bsmith,,,WinForm,,0,0,0,0
10,Text,Newtonian,,,WinForm,,0,0,0,0
9,ListItem,Brine Abby (local),,,WinForm,,4346,410,4787,428
10,Text,Brine Abby (local),,,WinForm,,4346,410,4787,428
10,Text,,,,WinForm,,4486,410,4556,428
10,Text,Liquid,,,WinForm,,4556,410,4696,428
10,Text,Newtonian,,,WinForm,,4696,410,4787,428
10,Text,2/4/2025 12:27:20 PM,,,WinForm,,0,0,0,0
10,Text,bsmith,,,WinForm,,0,0,0,0
10,Text,Newtonian,,,WinForm,,0,0,0,0
9,ListItem,CaCl 2%,,,WinForm,,4346,428,4787,446
10,Text,CaCl 2%,,,WinForm,,4346,428,4787,446
10,Text,CTES Read-Only,,,WinForm,,4486,428,4556,446
10,Text,Liquid,,,WinForm,,4556,428,4696,446
10,Text,Newtonian,,,WinForm,,4696,428,4787,446
10,Text,7/30/2018 8:47:52 AM,,,WinForm,,0,0,0,0
10,Text,CTES,,,WinForm,,0,0,0,0
10,Text,Newtonian,,,WinForm,,0,0,0,0
9,ListItem,Completion Fluid (local),,,WinForm,,4346,446,4787,464
10,Text,Completion Fluid (local),,,WinForm,,4346,446,4787,464
10,Text,,,,WinForm,,4486,446,4556,464
10,Text,Liquid,,,WinForm,,4556,446,4696,464
10,Text,Newtonian,,,WinForm,,4696,446,4787,464
10,Text,9/12/2024 3:34:20 PM,,,WinForm,,0,0,0,0
10,Text,bsmith,,,WinForm,,0,0,0,0
10,Text,Newtonian,,,WinForm,,0,0,0,0
9,ListItem,Diesel,,,WinForm,,4346,464,4787,482
10,Text,Diesel,,,WinForm,,4346,464,4787,482
10,Text,CTES Read-Only,,,WinForm,,4486,464,4556,482
10,Text,Liquid,,,WinForm,,4556,464,4696,482
10,Text,Newtonian,,,WinForm,,4696,464,4787,482
10,Text,7/30/2018 8:47:52 AM,,,WinForm,,0,0,0,0
10,Text,CTES,,,WinForm,,0,0,0,0
10,Text,Newtonian,,,WinForm,,0,0,0,0
9,ListItem,Equinor O-3 (13.01) (local),,,WinForm,,4346,482,4787,500
10,Text,Equinor O-3 (13.01) (local),,,WinForm,,4346,482,4787,500
10,Text,,,,WinForm,,4486,482,4556,500
10,Text,Liquid,,,WinForm,,4556,482,4696,500
10,Text,Newtonian,,,WinForm,,4696,482,4787,500
10,Text,5/14/2025 4:41:35 PM,,,WinForm,,0,0,0,0
10,Text,bsmith,,,WinForm,,0,0,0,0
10,Text,Newtonian,,,WinForm,,0,0,0,0
9,ListItem,Fresh Water,,,WinForm,,4346,500,4787,518
10,Text,Fresh Water,,,WinForm,,4346,500,4787,518
10,Text,CTES Read-Only,,,WinForm,,4486,500,4556,518
10,Text,Liquid,,,WinForm,,4556,500,4696,518
10,Text,Newtonian,,,WinForm,,4696,500,4787,518
10,Text,7/30/2018 8:47:55 AM,,,WinForm,,0,0,0,0
10,Text,CTES,,,WinForm,,0,0,0,0
10,Text,Newtonian,,,WinForm,,0,0,0,0
9,ListItem,Fresh Water (Local) (local),,,WinForm,,4346,518,4787,536
10,Text,Fresh Water (Local) (local),,,WinForm,,4346,518,4787,536
10,Text,,,,WinForm,,4486,518,4556,536
10,Text,Liquid,,,WinForm,,4556,518,4696,536
10,Text,Newtonian,,,WinForm,,4696,518,4787,536
10,Text,2/26/2025 1:07:49 PM,,,WinForm,,0,0,0,0
10,Text,bsmith,,,WinForm,,0,0,0,0
10,Text,Newtonian,,,WinForm,,0,0,0,0
9,ListItem,Fresh Water local (local),,,WinForm,,4346,536,4787,554
10,Text,Fresh Water local (local),,,WinForm,,4346,536,4787,554
10,Text,,,,WinForm,,4486,536,4556,554
10,Text,Liquid,,,WinForm,,4556,536,4696,554
10,Text,Newtonian,,,WinForm,,4696,536,4787,554
10,Text,5/15/2025 7:58:15 AM,,,WinForm,,0,0,0,0
10,Text,bsmith,,,WinForm,,0,0,0,0
10,Text,Newtonian,,,WinForm,,0,0,0,0
9,ListItem,HCl 15%,,,WinForm,,4346,554,4787,572
10,Text,HCl 15%,,,WinForm,,4346,554,4787,572
10,Text,CTES Read-Only,,,WinForm,,4486,554,4556,572
10,Text,Liquid,,,WinForm,,4556,554,4696,572
10,Text,Newtonian,,,WinForm,,4696,554,4787,572
10,Text,7/30/2018 8:47:55 AM,,,WinForm,,0,0,0,0
10,Text,CTES,,,WinForm,,0,0,0,0
10,Text,Newtonian,,,WinForm,,0,0,0,0
9,ListItem,HCl 2%,,,WinForm,,4346,572,4787,590
10,Text,HCl 2%,,,WinForm,,4346,572,4787,590
10,Text,CTES Read-Only,,,WinForm,,4486,572,4556,590
10,Text,Liquid,,,WinForm,,4556,572,4696,590
10,Text,Newtonian,,,WinForm,,4696,572,4787,590
10,Text,7/30/2018 8:47:55 AM,,,WinForm,,0,0,0,0
10,Text,CTES,,,WinForm,,0,0,0,0
10,Text,Newtonian,,,WinForm,,0,0,0,0
9,ListItem,HCl 28%,,,WinForm,,4346,590,4787,608
10,Text,HCl 28%,,,WinForm,,4346,590,4787,608
10,Text,CTES Read-Only,,,WinForm,,4486,590,4556,608
10,Text,Liquid,,,WinForm,,4556,590,4696,608
10,Text,Newtonian,,,WinForm,,4696,590,4787,608
10,Text,7/30/2018 8:47:56 AM,,,WinForm,,0,0,0,0
10,Text,CTES,,,WinForm,,0,0,0,0
10,Text,Newtonian,,,WinForm,,0,0,0,0
9,ListItem,KCl 1%,,,WinForm,,4346,608,4787,613
10,Text,KCl 1%,,,WinForm,,4346,608,4787,613
10,Text,CTES Read-Only,,,WinForm,,4486,608,4556,613
10,Text,Liquid,,,WinForm,,4556,608,4696,613
10,Text,Newtonian,,,WinForm,,4696,608,4787,613
10,Text,7/30/2018 8:47:56 AM,,,WinForm,,0,0,0,0
10,Text,CTES,,,WinForm,,0,0,0,0
10,Text,Newtonian,,,WinForm,,0,0,0,0
9,ListItem,KCl 2%,,,WinForm,,0,0,0,0
10,Text,KCl 2%,,,WinForm,,0,0,0,0
10,Text,CTES Read-Only,,,WinForm,,0,0,0,0
10,Text,Liquid,,,WinForm,,0,0,0,0
10,Text,Newtonian,,,WinForm,,0,0,0,0
10,Text,7/30/2018 8:47:56 AM,,,WinForm,,0,0,0,0
10,Text,CTES,,,WinForm,,0,0,0,0
10,Text,Newtonian,,,WinForm,,0,0,0,0
9,ListItem,Kerosene,,,WinForm,,0,0,0,0
10,Text,Kerosene,,,WinForm,,0,0,0,0
10,Text,CTES Read-Only,,,WinForm,,0,0,0,0
10,Text,Liquid,,,WinForm,,0,0,0,0
10,Text,Newtonian,,,WinForm,,0,0,0,0
10,Text,1/24/2017 7:52:36 AM,,,WinForm,,0,0,0,0
10,Text,CTES,,,WinForm,,0,0,0,0
10,Text,Newtonian,,,WinForm,,0,0,0,0
9,ListItem,NaCl 10%,,,WinForm,,0,0,0,0
10,Text,NaCl 10%,,,WinForm,,0,0,0,0
10,Text,CTES Read-Only,,,WinForm,,0,0,0,0
10,Text,Liquid,,,WinForm,,0,0,0,0
10,Text,Newtonian,,,WinForm,,0,0,0,0
10,Text,7/30/2018 8:47:57 AM,,,WinForm,,0,0,0,0
10,Text,CTES,,,WinForm,,0,0,0,0
10,Text,Newtonian,,,WinForm,,0,0,0,0
9,ListItem,NaCl 2%,,,WinForm,,0,0,0,0
10,Text,NaCl 2%,,,WinForm,,0,0,0,0
10,Text,CTES Read-Only,,,WinForm,,0,0,0,0
10,Text,Liquid,,,WinForm,,0,0,0,0
10,Text,Newtonian,,,WinForm,,0,0,0,0
10,Text,7/30/2018 8:47:58 AM,,,WinForm,,0,0,0,0
10,Text,CTES,,,WinForm,,0,0,0,0
10,Text,Newtonian,,,WinForm,,0,0,0,0
9,ListItem,Newtonian Water,,,WinForm,,0,0,0,0
10,Text,Newtonian Water,,,WinForm,,0,0,0,0
10,Text,CTES Read-Only,,,WinForm,,0,0,0,0
10,Text,Liquid,,,WinForm,,0,0,0,0
10,Text,Newtonian,,,WinForm,,0,0,0,0
10,Text,1/24/2017 7:52:36 AM,,,WinForm,,0,0,0,0
10,Text,CTES,,,WinForm,,0,0,0,0
10,Text,Newtonian,,,WinForm,,0,0,0,0
9,ListItem,Perenco C07 (9.163) (local),,,WinForm,,0,0,0,0
10,Text,Perenco C07 (9.163) (local),,,WinForm,,0,0,0,0
10,Text,,,,WinForm,,0,0,0,0
10,Text,Liquid,,,WinForm,,0,0,0,0
10,Text,Newtonian,,,WinForm,,0,0,0,0
10,Text,2/26/2025 11:33:10 AM,,,WinForm,,0,0,0,0
10,Text,cnorris,,,WinForm,,0,0,0,0
10,Text,Newtonian,,,WinForm,,0,0,0,0
9,ListItem,Sea Water,,,WinForm,,0,0,0,0
10,Text,Sea Water,,,WinForm,,0,0,0,0
10,Text,CTES Read-Only,,,WinForm,,0,0,0,0
10,Text,Liquid,,,WinForm,,0,0,0,0
10,Text,Newtonian,,,WinForm,,0,0,0,0
10,Text,1/24/2017 7:52:36 AM,,,WinForm,,0,0,0,0
10,Text,CTES,,,WinForm,,0,0,0,0
10,Text,Newtonian,,,WinForm,,0,0,0,0
9,ListItem,Slick Water CF = 0.4,,,WinForm,,0,0,0,0
10,Text,Slick Water CF = 0.4,,,WinForm,,0,0,0,0
10,Text,CTES Read-Only,,,WinForm,,0,0,0,0
10,Text,Liquid,,,WinForm,,0,0,0,0
10,Text,Newtonian,,,WinForm,,0,0,0,0
10,Text,1/24/2017 7:52:36 AM,,,WinForm,,0,0,0,0
10,Text,CTES,,,WinForm,,0,0,0,0
10,Text,Newtonian,,,WinForm,,0,0,0,0
3,Text,Selection,lblSelection1,WindowsForms10.STATIC.app.0.141b42a_r7_ad1,WinForm,1642942,4059,640,4119,667
3,Text,,lblFilterOnMessage,WindowsForms10.STATIC.app.0.141b42a_r7_ad1,WinForm,1446350,4096,284,4459,310
3,Button,Search,btnSearch,WindowsForms10.BUTTON.app.0.141b42a_r7_ad1,WinForm,2166870,4588,281,4646,303
3,Button,OK,btnOK,WindowsForms10.BUTTON.app.0.141b42a_r7_ad1,WinForm,1970022,4628,731,4716,754
3,Button,Delete,btnDelete,WindowsForms10.BUTTON.app.0.141b42a_r7_ad1,WinForm,2428818,4628,731,4716,754
3,Pane,,BottomPanel,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,WinForm,790610,4039,799,4833,801
3,Pane,,LeftPanel,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,WinForm,3084710,4037,244,4039,801
3,Pane,,RightPanel,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,WinForm,5967222,4833,244,4835,801
3,Pane,,TopPanel,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,WinForm,462822,4037,218,4835,244
4,Text,Select a Fluid,lblFormTitle,WindowsForms10.STATIC.app.0.141b42a_r7_ad1,WinForm,1576982,4038,219,4762,245
4,Pane,_,btnMinimize,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,WinForm,397796,4762,219,4786,243
4,Pane,Maximize,btnMaximize,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,WinForm,397786,4786,219,4810,243
4,Pane,A,btnCloseForm,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,WinForm,3083632,4810,219,4834,243
2,CheckBox,Use well TD,chkWellFlowTD,WindowsForms10.BUTTON.app.0.141b42a_r7_ad1,WinForm,2101232,4498,687,4589,705
2,Pane,,Panel7,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,WinForm,986928,4081,736,4607,801
2,Pane,  Fluids Distribution,txtWellFlowDep,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,WinForm,659252,4372,689,4492,729
