depth,control_type,name,automation_id,class_name,framework_id,handle,left,top,right,bottom
3,Pane,,txtBottomDepth,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,WinForm,133742,4666,367,4740,391
4,Text,ft,lblUnit,WindowsForms10.STATIC.app.0.141b42a_r7_ad1,WinForm,68232,4726,370,4740,384
4,Edit,,txtData,WindowsForms10.EDIT.app.0.141b42a_r7_ad1,WinForm,68234,4666,367,4723,387
3,Pane,,txtTopDepth,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,WinForm,68236,4666,340,4740,364
4,Text,ft,lblUnit,WindowsForms10.STATIC.app.0.141b42a_r7_ad1,WinForm,68238,4726,343,4740,357
4,Edit,,txtData,WindowsForms10.EDIT.app.0.141b42a_r7_ad1,WinForm,68240,4666,340,4723,360
3,Text,Top :,Label17,WindowsForms10.STATIC.app.0.141b42a_r7_ad1,WinForm,68242,4631,342,4663,356
3,Text,Depth of Interest :,Label16,WindowsForms10.STATIC.app.0.141b42a_r7_ad1,WinForm,68244,4614,315,4720,329
3,Button,Project Calculation Options,btnProjectCalculationOptions,WindowsForms10.BUTTON.app.0.141b42a_r7_ad1,WinForm,68246,4613,263,4793,291
3,Pane,Project Name:,pnlCalculate,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,WinForm,68248,4069,260,4597,884
4,Button,...,btnWHP,WindowsForms10.BUTTON.app.0.141b42a_r7_ad1,WinForm,68338,4415,357,4437,379
4,Pane,lbf,txtWellheadPressurePOOH,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,WinForm,68490,4344,357,4410,381
5,Edit,,txtData,WindowsForms10.EDIT.app.0.141b42a_r7_ad1,WinForm,68494,4344,357,4407,377
4,Pane,,txtWellheadPressureRIH,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,WinForm,68484,4264,357,4330,381
5,Edit,,txtData,WindowsForms10.EDIT.app.0.141b42a_r7_ad1,WinForm,68488,4264,357,4327,377
4,Text,Wellhead Pressure:,lblWellheadPressure,WindowsForms10.STATIC.app.0.141b42a_r7_ad1,WinForm,68498,4103,360,4257,376
4,Pane,,pnlCalculateRIHPOOH,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,WinForm,68250,4159,296,4429,320
5,CheckBox,POOH,chkPOOH,WindowsForms10.BUTTON.app.0.141b42a_r7_ad1,WinForm,68252,4344,298,4400,316
5,Text,Calculate :,lblCalculate,WindowsForms10.STATIC.app.0.141b42a_r7_ad1,WinForm,68254,4193,299,4257,313
5,CheckBox,RIH,chkRIH,WindowsForms10.BUTTON.app.0.141b42a_r7_ad1,WinForm,68256,4264,298,4309,316
4,Pane,,txtSurfaceRotationRIH,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,WinForm,68258,4264,797,4330,821
5,Edit,,txtData,WindowsForms10.EDIT.app.0.141b42a_r7_ad1,WinForm,68262,4264,797,4327,817
4,Pane,,txtSurfaceRotationPOOH,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,WinForm,68264,4344,797,4410,821
5,Edit,,txtData,WindowsForms10.EDIT.app.0.141b42a_r7_ad1,WinForm,68268,4344,797,4407,817
4,Pane,,txtTorqueOnEndRIH,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,WinForm,68270,4264,772,4330,796
5,Edit,,txtData,WindowsForms10.EDIT.app.0.141b42a_r7_ad1,WinForm,68274,4264,772,4327,792
4,Pane,,txtTorqueOnEndPOOH,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,WinForm,68276,4344,772,4410,796
5,Edit,,txtData,WindowsForms10.EDIT.app.0.141b42a_r7_ad1,WinForm,68280,4344,772,4407,792
4,Pane,,txtAxialForceOnEndPOOH,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,WinForm,68282,4344,747,4410,771
5,Edit,,txtData,WindowsForms10.EDIT.app.0.141b42a_r7_ad1,WinForm,68286,4344,747,4407,767
4,Pane,(RIH),txtAxialForceOnEndRIH,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,WinForm,68288,4264,747,4330,771
5,Edit,,txtData,WindowsForms10.EDIT.app.0.141b42a_r7_ad1,WinForm,68292,4264,747,4327,767
4,RadioButton,,rbtnWellCoF,WindowsForms10.BUTTON.app.0.141b42a_r7_ad1,WinForm,68294,4087,495,4101,508
4,RadioButton,,rbtnProjCoF,WindowsForms10.BUTTON.app.0.141b42a_r7_ad1,WinForm,68296,4087,520,4101,533
4,Pane,Tractor Force:,pnlAgitator,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,WinForm,68582,4081,826,4572,856
5,Button,...,btnAgitators,WindowsForms10.BUTTON.app.0.141b42a_r7_ad1,WinForm,397284,4415,829,4437,851
5,CheckBox,lbf/(gal/min),chkAgitator,WindowsForms10.BUTTON.app.0.141b42a_r7_ad1,WinForm,724670,4087,833,4102,847
5,Text,Downhole agitator ratio :,lblAgitator,WindowsForms10.STATIC.app.0.141b42a_r7_ad1,WinForm,724772,4102,832,4256,848
5,Pane,Downhole agitator ratio :,txtAgitatorRatio,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,WinForm,397288,4264,830,4330,854
6,Edit,,txtData,WindowsForms10.EDIT.app.0.141b42a_r7_ad1,WinForm,397184,4264,830,4327,850
5,Text,lbf/(gal/min),lblUnitsAgitator,WindowsForms10.STATIC.app.0.141b42a_r7_ad1,WinForm,397192,4445,832,4523,846
4,Button, Drilling (Underbalanced),btnApplication,WindowsForms10.BUTTON.app.0.141b42a_r7_ad1,WinForm,68316,4075,263,4219,290
4,Button,...,btnTorque,WindowsForms10.BUTTON.app.0.141b42a_r7_ad1,WinForm,68318,4415,771,4437,793
4,Button,...,btnForce,WindowsForms10.BUTTON.app.0.141b42a_r7_ad1,WinForm,68320,4415,746,4437,768
4,Text,Surface Rotation:,lblSurfaceRotation,WindowsForms10.STATIC.app.0.141b42a_r7_ad1,WinForm,68322,4102,799,4256,815
4,Button,,btnFluid,WindowsForms10.BUTTON.app.0.141b42a_r7_ad1,WinForm,68324,4415,617,4437,639
