WindowText,AutomationId,ControlType,ClassName,DepthPath
Value List:,Label1,Text,WindowsForms10.STATIC.app.0.141b42a_r7_ad1,root/ Sensitivity Analysis Wizard - Abbey A-02/ Sensitivity Parameter Matrix Wizard/ Parameter Value Editor - BHA Depth/SplitContainer1/Edit Values:/Value List:
,Panel1,Pane,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,root/ Sensitivity Analysis Wizard - Abbey A-02/ Sensitivity Parameter Matrix Wizard/ Parameter Value Editor - BHA Depth/Panel1
,Panel2,Pane,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,root/ Sensitivity Analysis Wizard - Abbey A-02/ Sensitivity Parameter Matrix Wizard/ Parameter Value Editor - BHA Depth/Panel1/Panel2
OK,cmdOK,Button,WindowsForms10.BUTTON.app.0.141b42a_r7_ad1,root/ Sensitivity Analysis Wizard - Abbey A-02/ Sensitivity Parameter Matrix Wizard/ Parameter Value Editor - BHA Depth/Panel1/Panel2/OK
Cancel,cmdCancel,Button,WindowsForms10.BUTTON.app.0.141b42a_r7_ad1,root/ Sensitivity Analysis Wizard - Abbey A-02/ Sensitivity Parameter Matrix Wizard/ Parameter Value Editor - BHA Depth/Panel1/Panel2/Cancel
,BottomPanel,Pane,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,root/ Sensitivity Analysis Wizard - Abbey A-02/ Sensitivity Parameter Matrix Wizard/ Parameter Value Editor - BHA Depth/BottomPanel
,LeftPanel,Pane,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,root/ Sensitivity Analysis Wizard - Abbey A-02/ Sensitivity Parameter Matrix Wizard/ Parameter Value Editor - BHA Depth/LeftPanel
,RightPanel,Pane,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,root/ Sensitivity Analysis Wizard - Abbey A-02/ Sensitivity Parameter Matrix Wizard/ Parameter Value Editor - BHA Depth/RightPanel
,TopPanel,Pane,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,root/ Sensitivity Analysis Wizard - Abbey A-02/ Sensitivity Parameter Matrix Wizard/ Parameter Value Editor - BHA Depth/TopPanel
 Parameter Value Editor - BHA Depth,lblFormTitle,Text,WindowsForms10.STATIC.app.0.141b42a_r7_ad1,root/ Sensitivity Analysis Wizard - Abbey A-02/ Sensitivity Parameter Matrix Wizard/ Parameter Value Editor - BHA Depth/TopPanel/ Parameter Value Editor - BHA Depth
A,btnCloseForm,Pane,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,root/ Sensitivity Analysis Wizard - Abbey A-02/ Sensitivity Parameter Matrix Wizard/ Parameter Value Editor - BHA Depth/TopPanel/A
,pnlIcon,Pane,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,root/ Sensitivity Analysis Wizard - Abbey A-02/ Sensitivity Parameter Matrix Wizard/ Parameter Value Editor - BHA Depth/TopPanel/pnlIcon
,SplitContainer1,Pane,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,root/ Sensitivity Analysis Wizard - Abbey A-02/ Sensitivity Parameter Matrix Wizard/SplitContainer1
,1446752,Pane,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,root/ Sensitivity Analysis Wizard - Abbey A-02/ Sensitivity Parameter Matrix Wizard/SplitContainer1/1446752
DataGridView,grdVal,Table,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,root/ Sensitivity Analysis Wizard - Abbey A-02/ Sensitivity Parameter Matrix Wizard/SplitContainer1/1446752/DataGridView
Top Row,,Custom,,root/ Sensitivity Analysis Wizard - Abbey A-02/ Sensitivity Parameter Matrix Wizard/SplitContainer1/1446752/DataGridView/Top Row
"BHA Depth(ft)",,Header,,"root/ Sensitivity Analysis Wizard - Abbey A-02/ Sensitivity Parameter Matrix Wizard/SplitContainer1/1446752/DataGridView/Top Row/BHA Depth(ft)"
"Pipe Fluid Density(lb/gal)",,Header,,"root/ Sensitivity Analysis Wizard - Abbey A-02/ Sensitivity Parameter Matrix Wizard/SplitContainer1/1446752/DataGridView/Top Row/Pipe Fluid Density(lb/gal)"
Row 0,,Custom,,root/ Sensitivity Analysis Wizard - Abbey A-02/ Sensitivity Parameter Matrix Wizard/SplitContainer1/1446752/DataGridView/Row 0
"BHA Depth(ft) Row 0",,Edit,,"root/ Sensitivity Analysis Wizard - Abbey A-02/ Sensitivity Parameter Matrix Wizard/SplitContainer1/1446752/DataGridView/Row 0/BHA Depth(ft) Row 0"
"Pipe Fluid Density(lb/gal) Row 0",,Edit,,"root/ Sensitivity Analysis Wizard - Abbey A-02/ Sensitivity Parameter Matrix Wizard/SplitContainer1/1446752/DataGridView/Row 0/Pipe Fluid Density(lb/gal) Row 0"
Row 1,,Custom,,root/ Sensitivity Analysis Wizard - Abbey A-02/ Sensitivity Parameter Matrix Wizard/SplitContainer1/1446752/DataGridView/Row 1
"BHA Depth(ft) Row 1",,Edit,,"root/ Sensitivity Analysis Wizard - Abbey A-02/ Sensitivity Parameter Matrix Wizard/SplitContainer1/1446752/DataGridView/Row 1/BHA Depth(ft) Row 1"
"Pipe Fluid Density(lb/gal) Row 1",,Edit,,"root/ Sensitivity Analysis Wizard - Abbey A-02/ Sensitivity Parameter Matrix Wizard/SplitContainer1/1446752/DataGridView/Row 1/Pipe Fluid Density(lb/gal) Row 1"
Click the table to customize a parameter's value list:,lblParamVal,Text,WindowsForms10.STATIC.app.0.141b42a_r7_ad1,root/ Sensitivity Analysis Wizard - Abbey A-02/ Sensitivity Parameter Matrix Wizard/SplitContainer1/1446752/Click the table to customize a parameter's value list:
,1315718,Pane,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,root/ Sensitivity Analysis Wizard - Abbey A-02/ Sensitivity Parameter Matrix Wizard/SplitContainer1/1315718
DataGridView,grdMatrix,Table,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,root/ Sensitivity Analysis Wizard - Abbey A-02/ Sensitivity Parameter Matrix Wizard/SplitContainer1/1315718/DataGridView
Top Row,,Custom,,root/ Sensitivity Analysis Wizard - Abbey A-02/ Sensitivity Parameter Matrix Wizard/SplitContainer1/1315718/DataGridView/Top Row
#,,Header,,root/ Sensitivity Analysis Wizard - Abbey A-02/ Sensitivity Parameter Matrix Wizard/SplitContainer1/1315718/DataGridView/Top Row/#
"BHA Depth(ft)",,Header,,"root/ Sensitivity Analysis Wizard - Abbey A-02/ Sensitivity Parameter Matrix Wizard/SplitContainer1/1315718/DataGridView/Top Row/BHA Depth(ft)"
"Pipe Fluid Density(lb/gal)",,Header,,"root/ Sensitivity Analysis Wizard - Abbey A-02/ Sensitivity Parameter Matrix Wizard/SplitContainer1/1315718/DataGridView/Top Row/Pipe Fluid Density(lb/gal)"
Row 0,,Custom,,root/ Sensitivity Analysis Wizard - Abbey A-02/ Sensitivity Parameter Matrix Wizard/SplitContainer1/1315718/DataGridView/Row 0
# Row 0,,Edit,,root/ Sensitivity Analysis Wizard - Abbey A-02/ Sensitivity Parameter Matrix Wizard/SplitContainer1/1315718/DataGridView/Row 0/# Row 0
"BHA Depth(ft) Row 0",,Edit,,"root/ Sensitivity Analysis Wizard - Abbey A-02/ Sensitivity Parameter Matrix Wizard/SplitContainer1/1315718/DataGridView/Row 0/BHA Depth(ft) Row 0"
"Pipe Fluid Density(lb/gal) Row 0",,Edit,,"root/ Sensitivity Analysis Wizard - Abbey A-02/ Sensitivity Parameter Matrix Wizard/SplitContainer1/1315718/DataGridView/Row 0/Pipe Fluid Density(lb/gal) Row 0"
Complete combination based on the parameter values:,Label4,Text,WindowsForms10.STATIC.app.0.141b42a_r7_ad1,root/ Sensitivity Analysis Wizard - Abbey A-02/ Sensitivity Parameter Matrix Wizard/SplitContainer1/1315718/Complete combination based on the parameter values:
,Panel1,Pane,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,root/ Sensitivity Analysis Wizard - Abbey A-02/ Sensitivity Parameter Matrix Wizard/Panel1
,Panel2,Pane,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,root/ Sensitivity Analysis Wizard - Abbey A-02/ Sensitivity Parameter Matrix Wizard/Panel1/Panel2
OK,cmdOK,Button,WindowsForms10.BUTTON.app.0.141b42a_r7_ad1,root/ Sensitivity Analysis Wizard - Abbey A-02/ Sensitivity Parameter Matrix Wizard/Panel1/Panel2/OK
Cancel,cmdCancel,Button,WindowsForms10.BUTTON.app.0.141b42a_r7_ad1,root/ Sensitivity Analysis Wizard - Abbey A-02/ Sensitivity Parameter Matrix Wizard/Panel1/Panel2/Cancel
,BottomPanel,Pane,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,root/ Sensitivity Analysis Wizard - Abbey A-02/ Sensitivity Parameter Matrix Wizard/BottomPanel
,LeftPanel,Pane,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,root/ Sensitivity Analysis Wizard - Abbey A-02/ Sensitivity Parameter Matrix Wizard/LeftPanel
,RightPanel,Pane,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,root/ Sensitivity Analysis Wizard - Abbey A-02/ Sensitivity Parameter Matrix Wizard/RightPanel
,TopPanel,Pane,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,root/ Sensitivity Analysis Wizard - Abbey A-02/ Sensitivity Parameter Matrix Wizard/TopPanel
 Sensitivity Parameter Matrix Wizard,lblFormTitle,Text,WindowsForms10.STATIC.app.0.141b42a_r7_ad1,root/ Sensitivity Analysis Wizard - Abbey A-02/ Sensitivity Parameter Matrix Wizard/TopPanel/ Sensitivity Parameter Matrix Wizard
A,btnCloseForm,Pane,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,root/ Sensitivity Analysis Wizard - Abbey A-02/ Sensitivity Parameter Matrix Wizard/TopPanel/A
,SplitContainer1,Pane,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,root/ Sensitivity Analysis Wizard - Abbey A-02/SplitContainer1
,4264994,Pane,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,root/ Sensitivity Analysis Wizard - Abbey A-02/SplitContainer1/4264994
,Panel15,Pane,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,root/ Sensitivity Analysis Wizard - Abbey A-02/SplitContainer1/4264994/Panel15
,SplitContainer2,Pane,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,root/ Sensitivity Analysis Wizard - Abbey A-02/SplitContainer1/4264994/Panel15/SplitContainer2
,1245220,Pane,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,root/ Sensitivity Analysis Wizard - Abbey A-02/SplitContainer1/4264994/Panel15/SplitContainer2/1245220
,UcProjectInfo1,Pane,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,root/ Sensitivity Analysis Wizard - Abbey A-02/SplitContainer1/4264994/Panel15/SplitContainer2/1245220/UcProjectInfo1
,TabControl1,Tab,WindowsForms10.SysTabControl32.app.0.141b42a_r7_ad1,root/ Sensitivity Analysis Wizard - Abbey A-02/SplitContainer1/4264994/Panel15/SplitContainer2/1245220/UcProjectInfo1/TabControl1
